ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
6xc,Li6.6In0.6Hf11.4P18.0O72.0,167,8.831,8.831,22.036,90.0,90.0,120.0,5.13e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
21m,Li6.6Lu0.6Hf11.4P18.0O72.0,167,8.839,8.839,22.046,90.0,90.0,120.0,5.88e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
4k1,Li6.6Sc0.6Hf11.4P18.0O72.0,167,8.837,8.837,21.965,90.0,90.0,120.0,2.45e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
gzp,Li7.2Lu1.2Hf10.8P18.0O72.0,167,8.836,8.836,21.997,90.0,90.0,120.0,9.79e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
lh8,Li7.8Cr1.8Hf10.2P18.0O72.0,167,8.798,8.798,21.929,90.0,90.0,120.0,5.26e-07,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
ew5,Li7.8Fe1.8Hf10.2P18.0O72.0,167,8.809,8.809,21.889,90.0,90.0,120.0,5.4e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
9l3,Li7.8In1.8Hf10.2P18.0O72.0,167,8.84,8.84,21.995,90.0,90.0,120.0,0.000142,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
jdk,Li7.8Lu1.8Hf10.2P18.0O72.0,167,8.843,8.843,21.995,90.0,90.0,120.0,3.56e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
h8a,Li7.8Sc1.8Hf10.2P18.0O72.0,167,8.857,8.857,21.995,90.0,90.0,120.0,8.32e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
jq7,Li7.8Y1.8Hf10.2P18.0O72.0,167,8.835,8.835,21.957,90.0,90.0,120.0,3.19e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
ylt,Li8.4In2.4Hf9.6P18.0O72.0,167,8.836,8.836,21.926,90.0,90.0,120.0,0.000142,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
gnq,Li8.4Lu2.4Hf9.6P18.0O72.0,167,8.877,8.877,21.946,90.0,90.0,120.0,2.06e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
sso,Li8.4Y2.4Hf9.6P18.0O72.0,167,8.863,8.863,21.91,90.0,90.0,120.0,2.09e-05,10.1016/0167-2738(93)90387-i,No Match,"**1. Method Name:**
Solid State Reaction (or Conventional Ceramic Method)

**2. Procedure Summary:**
The materials were synthesized via a multi-step solid-state reaction method. Stoichiometric amounts of lithium carbonate (Li2CO3), hafnium oxide (HfO2), ammonium dihydrogen phosphate ((NH4)2HPO4), and the respective metal oxide (M2O3 for M = Cr, Fe, Sc, In, Lu, or Y) were used as starting materials. These precursors were thoroughly mixed and then subjected to an initial calcination step in a platinum crucible. The resulting material was ground into a fine powder using wet ball-milling with methanol. This powder underwent a second calcination, followed by another wet ball-milling step to achieve a particle size smaller than 1 µm. The finely milled powder was then mixed with a 3 wt% polyvinyl alcohol (PVA) binder solution, pressed into pellets, and finally sintered at high temperatures to obtain dense ceramic electrolytes with the desired NASICON-type structure.

**3. Key Conditions:**
*   **Precursors:** Li2CO3 (99.99%), HfO2 (99.9%), (NH4)2HPO4 (extra pure grade), and M2O3 (99.9% or 99.99%).
*   **Initial Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Intermediate Grinding:** Wet ball-milling in methanol for 6 hours.
*   **Second Calcination:** 1173 K (900 °C) for 2 hours in air.
*   **Final Grinding:** Wet ball-milling in methanol to achieve particle size < 1 µm.
*   **Pellet Pressing:** 1 × 10^8 Pa (100 MPa) after mixing with 3 wt% PVA solution.
*   **Final Sintering:**
    *   **Atmosphere:** Air.
    *   **Dwell Time:** 2 hours.
    *   **Temperature:**
        *   For Li6.0Hf12.0P18.0O72.0 (undoped LiHf2(PO4)3): 1493 K (1220 °C) to ensure the NASICON-type R3c structure.
        *   For M-substituted compounds (all other listed compounds): Sintered at temperatures above 1293 K (1020 °C), with temperatures above 1393 K (1120 °C) being necessary for high density. The specific sintering temperature for each composition was optimized to achieve maximum conductivity."
za6,Li6.6Al0.6Ge11.4P18.0O72.0,167,8.262,8.262,20.44,90.0,90.0,120.0,2.9e-06,10.1016/s0955-2219(99)00055-2,No Match,"**Method Name:** Sol-Gel Process

**Procedure Summary:**
The synthesis of the NASICON-type compounds involved a sol-gel route. Stoichiometric amounts of titanium, germanium, and aluminum alkoxides (Ti(OC4H9)4, Ge(OC2H5)4, Al(OC4H9)3) were initially dissolved in ethanol (C2H5OH) and heated. Separately, an aqueous solution containing lithium acetate dihydrate (CH3COOLi+2H2O) and ammonium dihydrogen phosphate (NH4H2PO4) was prepared and also heated. The aqueous solution was then added to the alkoxide solution, initiating hydrolysis and polycondensation reactions with a high hydrolysis ratio (h ≈ 400). This mixture was subjected to strong mechanical stirring to form colloidal precipitates. The resulting gel was then dried using a freeze-drying technique to prevent powder agglomeration. The dried powder was subsequently calcined to remove residual organic groups and prevent cracking during densification. Finally, the calcined powder was uniaxially pressed into pellets and then sintered at high temperatures to achieve dense ceramic materials.

**Key Conditions:**
*   **Alkoxide dissolution:** 70°C for 1 hour in ethanol.
*   **Aqueous solution preparation:** 70°C.
*   **Hydrolysis/Polycondensation:** High hydrolysis ratio (h ≈ 400), strong mechanical stirring for 2 hours at 60°C.
*   **Drying:** Freeze-drying for 2 to 3 days.
*   **Calcination:** Approximately 500°C (exact temperature varied depending on composition, not specified for each).
*   **Pressing:** Isostatic pressure of 2500 bars.
*   **Sintering (specific to each composition):**
    *   Li6.6Al0.6Ge11.4P18.0O72.0 (Li1.1Al0.1Ge1.9(PO4)3): 1050°C for 1 hour.
    *   Li7.8Al1.8Ge10.2P18.0O72.0 (Li1.3Al0.3Ge1.7(PO4)3): 950°C for 2 hours.
    *   Li9.0Al3.0Ge9.0P18.0O72.0 (Li1.5Al0.5Ge1.5(PO4)3): 850°C for 2 hours.
    *   Li9.6Al3.6Ge8.4P18.0O72.0 (Li1.6Al0.6Ge1.4(PO4)3): 850°C for 2 hours.
    *   Li6.6Al0.6Ti11.4P18.0O72.0 (Li1.1Al0.1Ti1.9(PO4)3): 1050°C for 2 hours.
    *   Li9.6Al3.6Ti8.4P18.0O72.0 (Li1.6Al0.6Ti1.4(PO4)3): 950°C for 4 hours.
*   **Atmosphere:** Not specified in the paper, typically air for such processes unless otherwise noted."
